Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1999-03-10 00:00:00-05:00,43.47042443264946,43.4969955967281,42.75300300252627,43.41728210449219,5232000,0.0,0.0,0.0
1999-03-11 00:00:00-05:00,43.73613695337479,43.98856301720047,42.77957502729855,43.629852294921875,9688600,0.0,0.0,0.0
1999-03-12 00:00:00-05:00,43.47042863824394,43.496999804893235,42.22158380572715,42.56700897216797,8743600,0.0,0.0,0.0
1999-03-15 00:00:00-05:00,42.88586406337405,43.84242608709243,42.43415421884037,43.789283752441406,6369000,0.0,0.0,0.0
1999-03-16 00:00:00-05:00,43.975268213614086,44.34726444019451,43.49698735086783,44.1612663269043,4905800,0.0,0.0,0.0
1999-03-17 00:00:00-05:00,44.161264939741656,44.214407256155305,43.70955525022565,43.842411041259766,3965000,0.0,0.0,0.0
1999-03-18 00:00:00-05:00,43.78928356193334,44.71927441428022,43.775997978328384,44.69270324707031,4848400,0.0,0.0,0.0
1999-03-19 00:00:00-05:00,45.27725027944345,45.27725027944345,43.52355396580303,43.55012512207031,7160400,0.0,0.0,0.0
1999-03-22 00:00:00-05:00,43.73614797421338,43.842432659448406,42.93901283495068,43.01872634887695,5024800,0.0,0.0,0.0
1999-03-23 00:00:00-05:00,42.77957781939439,42.939004817479095,41.42444833567445,41.5041618347168,10962400,0.0,0.0,0.0
1999-03-24 00:00:00-05:00,41.87615441478812,42.93900097353909,41.23844647953754,42.91242980957031,8447000,0.0,0.0,0.0
1999-03-25 00:00:00-05:00,43.576717126041906,44.48013687133789,43.29107705951449,44.48013687133789,8133800,0.0,0.0,0.0
1999-03-26 00:00:00-05:00,44.108111846850115,44.61296372943455,43.81582917798545,44.001827239990234,8256200,0.0,0.0,0.0
1999-03-29 00:00:00-05:00,44.53325742886061,45.6226748241967,44.267545869022534,45.59610366821289,5113800,0.0,0.0,0.0
1999-03-30 00:00:00-05:00,45.542959934109255,45.91495610626651,45.09125029648973,45.27724838256836,4940600,0.0,0.0,0.0
1999-03-31 00:00:00-05:00,46.02124750479266,46.07438982292752,44.480120278881586,44.61297607421875,8256600,0.0,0.0,0.0
1999-04-01 00:00:00-05:00,45.91496499416569,45.96810731476079,44.798976261668614,45.54296875,8715800,0.0,0.0,0.0
1999-04-05 00:00:00-04:00,46.280332832186076,47.256823276614284,45.99469277021048,47.19039535522461,5697200,0.0,0.0,0.0
1999-04-06 00:00:00-04:00,47.1372448288011,47.801523927290404,46.73867736970752,47.28338623046875,7522400,0.0,0.0,0.0
1999-04-07 00:00:00-04:00,47.721815170989935,47.828099837295035,45.78212001092186,46.79182434082031,11923600,0.0,0.0,0.0
1999-04-08 00:00:00-04:00,46.712116106060186,47.3896809301242,45.75555400149923,47.16382598876953,7952400,0.0,0.0,0.0
1999-04-09 00:00:00-04:00,47.084107940434606,47.56238894660155,46.951252105388235,47.45610427856445,4946800,0.0,0.0,0.0
1999-04-12 00:00:00-04:00,46.34011400431361,47.456102988362446,46.286971671739856,47.13724899291992,10934000,0.0,0.0,0.0
1999-04-13 00:00:00-04:00,47.42952919006348,47.53581384931292,46.127542114257814,46.49953842163086,9962200,0.0,0.0,0.0
1999-04-14 00:00:00-04:00,47.084105190299674,47.137247521214235,44.64620075959426,44.905269622802734,21253800,0.0,0.0,0.0
1999-04-15 00:00:00-04:00,45.064689640684286,45.589470077242964,43.4704199599997,45.51639938354492,17650600,0.0,0.0,0.0
1999-04-16 00:00:00-04:00,45.4101246405422,45.4101246405422,43.94871044789748,44.18785095214844,17274000,0.0,0.0,0.0
1999-04-19 00:00:00-04:00,44.480141119249986,44.852137520486245,41.670239731340374,42.11530685424805,19460600,0.0,0.0,0.0
